Date,Category,Merchant,Amount
2025-05-05,Healthcare,Pharmacy,-11.97
2025-05-05,Healthcare,Pharmacy,-14.36
2025-05-06,Healthcare,Pharmacy,-13.07
2025-05-06,Entertainment,Coffee Shop,-6.61
2025-05-07,Entertainment,Coffee Shop,-13.35
2025-05-08,Healthcare,Pharmacy,-10.7
2025-05-09,Healthcare,Pharmacy,-33.05
2025-05-09,Dining Out,Café Aroma,-44.14
2025-05-09,Healthcare,Pharmacy,-14.73
2025-05-10,Entertainment,Coffee Shop,-11.42
2025-05-10,Entertainment,Coffee Shop,-9.27
2025-05-10,Groceries,Mercadona,-44.88
2025-05-10,Crypto Wallet,eToro,-348.55
2025-05-10,Entertainment,Coffee Shop,-7.85
2025-05-11,Healthcare,Pharmacy,-9.28
2025-05-11,Healthcare,Pharmacy,-9.93
2025-05-12,Entertainment,Coffee Shop,-11.5
2025-05-12,Entertainment,Coffee Shop,-7.81
2025-05-12,Healthcare,Pharmacy,-14.62
2025-05-12,Healthcare,Pharmacy,-10.68
2025-05-13,Healthcare,Pharmacy,-13.51
2025-05-13,Entertainment,Coffee Shop,-8.25
2025-05-13,Entertainment,Coffee Shop,-12.46
2025-05-14,Entertainment,Coffee Shop,-12.12
2025-05-14,Healthcare,Pharmacy,-7.42
2025-05-15,Entertainment,Coffee Shop,-12.95
2025-05-15,Healthcare,Pharmacy,-12.72
2025-05-15,Entertainment,Coffee Shop,-7.38
2025-05-15,Savings,ING Savings,-228.01
2025-05-16,Transport,Public Transport,-12.21
2025-05-16,Entertainment,Coffee Shop,-14.64
2025-05-16,Healthcare,Pharmacy,-12.28
2025-05-16,Dining Out,Sushi House,-40.21
2025-05-16,Healthcare,Pharmacy,-12.61
2025-05-17,Groceries,Mercadona,-50.23
2025-05-17,Entertainment,Coffee Shop,-8.41
2025-05-17,Healthcare,Pharmacy,-6.16
2025-05-18,Healthcare,Pharmacy,-7.81
2025-05-18,Entertainment,Coffee Shop,-10.12
2025-05-18,Entertainment,Coffee Shop,-12.41
2025-05-18,Healthcare,Pharmacy,-12.29
2025-05-19,Healthcare,Pharmacy,-7.52
2025-05-19,Entertainment,Coffee Shop,-12.03
2025-05-20,Healthcare,Pharmacy,-11.91
2025-05-21,Healthcare,Pharmacy,-11.32
2025-05-22,Entertainment,Coffee Shop,-14.67
2025-05-22,Entertainment,Coffee Shop,-5.31
2025-05-22,Entertainment,Coffee Shop,-7.37
2025-05-23,Healthcare,Pharmacy,-14.9
2025-05-23,Healthcare,Pharmacy,-8.6
2025-05-23,Healthcare,Pharmacy,-8.18
2025-05-23,Entertainment,Coffee Shop,-13.09
2025-05-24,Groceries,Aldi,-52.82
2025-05-24,Healthcare,Pharmacy,-12.7
2025-05-25,Crypto Wallet,eToro,-277.63
2025-05-25,Entertainment,Coffee Shop,-11.36
2025-05-25,Healthcare,Pharmacy,-14.25
2025-05-25,Healthcare,Pharmacy,-13.29
2025-05-25,Healthcare,Pharmacy,-8.68
2025-05-25,Entertainment,Coffee Shop,-7.58
2025-05-25,Healthcare,Pharmacy,-13.9
2025-05-26,Healthcare,Pharmacy,-7.94
2025-05-26,Entertainment,Coffee Shop,-7.79
2025-05-27,Entertainment,Coffee Shop,-12.96
2025-05-27,Entertainment,Coffee Shop,-10.03
2025-05-29,Entertainment,Coffee Shop,-5.77
2025-05-29,Healthcare,Pharmacy,-7.42
2025-05-30,Healthcare,Pharmacy,-5.94
2025-05-30,Dining Out,Tapas Bar,-27.62
2025-05-30,Healthcare,Pharmacy,-11.13
2025-05-31,Healthcare,Pharmacy,-13.17
2025-05-31,Entertainment,Coffee Shop,-10.09
2025-05-31,Groceries,Mercadona,-55.96
2025-05-31,Healthcare,Pharmacy,-6.62
2025-05-31,Entertainment,Coffee Shop,-6.87
2025-06-01,Healthcare,Pharmacy,-13.1
2025-06-01,Salary,Monthly Salary,2776.58
2025-06-02,Healthcare,Pharmacy,-11.23
2025-06-02,Rent,Rent Transfer,-1042.98
2025-06-03,Healthcare,Pharmacy,-12.71
2025-06-04,Entertainment,Coffee Shop,-5.75
2025-06-05,Healthcare,Pharmacy,-13.97
2025-06-05,Subscriptions,Netflix,-8.7
2025-06-05,Entertainment,Coffee Shop,-7.24
2025-06-05,Subscriptions,Notion,-8.45
2025-06-05,Subscriptions,Spotify,-13.66
2025-06-06,Healthcare,Pharmacy,-18.13
2025-06-06,Entertainment,Coffee Shop,-13.97
2025-06-06,Healthcare,Pharmacy,-6.27
2025-06-06,Entertainment,Coffee Shop,-11.15
2025-06-06,Entertainment,Coffee Shop,-7.4
2025-06-06,Healthcare,Pharmacy,-6.61
2025-06-06,Dining Out,Sushi House,-22.44
2025-06-06,Entertainment,Coffee Shop,-9.94
2025-06-06,Entertainment,Coffee Shop,-6.87
2025-06-07,Healthcare,Pharmacy,-8.31
2025-06-07,Groceries,Aldi,-67.48
2025-06-07,Entertainment,Coffee Shop,-10.49
2025-06-08,Entertainment,Coffee Shop,-7.26
2025-06-08,Healthcare,Pharmacy,-5.74
2025-06-08,Entertainment,Coffee Shop,-13.08
2025-06-09,Healthcare,Pharmacy,-8.23
2025-06-10,Healthcare,Pharmacy,-8.11
2025-06-10,Healthcare,Pharmacy,-5.64
2025-06-10,Healthcare,Pharmacy,-8.7
2025-06-10,Entertainment,Coffee Shop,-11.45
2025-06-10,Crypto Wallet,eToro,-210.32
2025-06-10,Healthcare,Pharmacy,-8.59
2025-06-11,Entertainment,Coffee Shop,-13.61
2025-06-11,Entertainment,Coffee Shop,-13.18
2025-06-12,Healthcare,Pharmacy,-10.61
2025-06-12,Entertainment,Coffee Shop,-11.78
2025-06-12,Entertainment,Coffee Shop,-12.13
2025-06-12,Healthcare,Pharmacy,-14.28
2025-06-12,Healthcare,Pharmacy,-7.29
2025-06-13,Entertainment,Coffee Shop,-13.02
2025-06-13,Transport,Public Transport,-19.72
2025-06-13,Entertainment,Coffee Shop,-12.8
2025-06-13,Dining Out,Tapas Bar,-37.11
2025-06-14,Groceries,Aldi,-46.99
2025-06-14,Healthcare,Pharmacy,-13.77
2025-06-14,Entertainment,Coffee Shop,-14.0
2025-06-15,Entertainment,Coffee Shop,-5.94
2025-06-15,Healthcare,Pharmacy,-6.69
2025-06-15,Savings,Revolut Vault,-232.01
2025-06-15,Entertainment,Coffee Shop,-6.74
2025-06-16,Entertainment,Coffee Shop,-5.85
2025-06-16,Entertainment,Coffee Shop,-8.38
2025-06-16,Entertainment,Coffee Shop,-9.72
2025-06-16,Healthcare,Pharmacy,-14.08
2025-06-17,Entertainment,Coffee Shop,-6.99
2025-06-17,Entertainment,Coffee Shop,-7.49
2025-06-18,Healthcare,Pharmacy,-6.77
2025-06-18,Healthcare,Pharmacy,-5.25
2025-06-19,Entertainment,Coffee Shop,-5.36
2025-06-20,Entertainment,Coffee Shop,-10.57
2025-06-20,Dining Out,Tapas Bar,-31.0
2025-06-20,Transport,Public Transport,-16.78
2025-06-20,Healthcare,Pharmacy,-14.72
2025-06-20,Entertainment,Coffee Shop,-8.39
2025-06-21,Groceries,Aldi,-58.0
2025-06-21,Healthcare,Pharmacy,-13.23
2025-06-21,Healthcare,Pharmacy,-11.33
2025-06-21,Healthcare,Pharmacy,-6.13
2025-06-21,Healthcare,Pharmacy,-6.4
2025-06-21,Healthcare,Pharmacy,-14.37
2025-06-21,Healthcare,Pharmacy,-11.96
2025-06-21,Healthcare,Pharmacy,-13.96
2025-06-21,Entertainment,Coffee Shop,-8.93
2025-06-21,Entertainment,Coffee Shop,-11.58
2025-06-21,Healthcare,Pharmacy,-10.43
2025-06-22,Entertainment,Coffee Shop,-5.17
2025-06-22,Healthcare,Pharmacy,-10.02
2025-06-22,Entertainment,Coffee Shop,-10.18
2025-06-22,Healthcare,Pharmacy,-14.4
2025-06-23,Healthcare,Pharmacy,-6.2
2025-06-23,Entertainment,Coffee Shop,-10.23
2025-06-23,Healthcare,Pharmacy,-5.84
2025-06-23,Healthcare,Pharmacy,-5.06
2025-06-23,Healthcare,Pharmacy,-9.28
2025-06-23,Entertainment,Coffee Shop,-13.49
2025-06-24,Entertainment,Coffee Shop,-11.52
2025-06-25,Entertainment,Coffee Shop,-6.41
2025-06-25,Healthcare,Pharmacy,-7.87
2025-06-25,Healthcare,Pharmacy,-8.76
2025-06-25,Healthcare,Pharmacy,-5.97
2025-06-25,Crypto Wallet,Coinbase,-398.76
2025-06-25,Entertainment,Coffee Shop,-11.31
2025-06-26,Healthcare,Pharmacy,-7.94
2025-06-26,Entertainment,Coffee Shop,-10.11
